,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
0,2020.12.10-044629,2020.11.29-231149,52040.0,61.96713503215051,45.8150705,6.3525390625,0.6101076095311299,0.000105,0.9892989,AGP:38,AGP
1,2020.12.10-044629,2020.11.29-231149,52036.0,61.96237199333174,45.284305,6.3520507813,0.6101545084172496,0.0001186,0.988715,AGP:38,AGP
2,2020.12.09-085652,2020.11.29-231149,56952.0,67.81614670159561,44.7893062,6.9521484375,0.5574870066020509,0.0001328,0.9903565,AGP:32,AGP
3,2020.12.08-191157,2020.11.29-231149,56952.0,67.81614670159561,45.1532484,6.9521484375,0.5574870066020509,0.0001222,0.9900753,AGP:32,AGP
4,2020.12.07-045630,2020.11.29-231149,57780.0,68.80209573708026,45.4187365,7.0532226563,0.5494980962270682,0.0001149,0.9906257,AGP:31,AGP
5,2020.12.11-171610,2020.11.29-231149,56956.0,67.82090974041438,43.9301892,6.9526367188,0.5574478544841632,0.0001619,0.9898887,AGP:32,AGP
6,2020.12.12-190415,2020.11.29-231149,52044.0,61.971898070969274,45.7042498,6.3530273438,0.6100607178541234,0.0001076,0.9890439,AGP:38,AGP
7,2020.12.12-190415,2020.11.29-231149,52492.0,62.50535841867111,45.4324756,6.4077148438,0.6048540730016002,0.0001146,0.9885034,AGP:37,AGP
8,2020.12.13-232457,2020.11.29-231149,52036.0,61.96237199333174,45.786802,6.3520507813,0.6101545084172496,0.0001057,0.9890812,AGP:38,AGP
9,2020.12.13-232457,2020.11.29-231149,55032.0,65.52988806858777,44.927865,6.7177734375,0.5769370548044774,0.0001287,0.9883436,AGP:34,AGP
10,2020.12.13-232457,2020.11.29-231149,59172.0,70.45963324601095,44.4538112,7.2231445313,0.536571351314811,0.0001435,0.9890178,AGP:29,AGP
11,2020.12.13-232457,2020.11.29-231149,63296.0,75.37032626815908,43.7330412,7.7265625,0.5016114762386249,0.0001694,0.9889534,AGP:24,AGP
12,2020.12.13-232457,2020.11.29-231149,67432.0,80.29530840676351,46.1302098,8.2314453125,0.4708447028117214,9.75e-05,0.9913971,AGP:19,AGP
13,2020.12.14-174343,2020.11.29-231149,59832.0,71.2455346511074,45.0738156,7.3037109375,0.5306524936488836,0.0001244,0.9898931,AGP:28,AGP
14,2020.12.14-174343,2020.11.29-231149,63288.0,75.36080019052154,44.91764,7.7255859375,0.5016748830742005,0.000129,0.9898999,AGP:24,AGP
15,2020.12.14-174343,2020.11.29-231149,67440.0,80.30483448440104,46.5967171,8.232421875,0.4707888493475682,8.76e-05,0.9917053,AGP:19,AGP
16,2020.12.14-174343,2020.11.29-231149,58592.0,69.76899261728983,46.9834615,7.15234375,0.541882850901147,8.02e-05,0.9914476,AGP:30,AGP
17,2020.12.14-174343,2020.11.29-231149,63304.0,75.37985234579662,45.3260699,7.7275390625,0.5015480854290408,0.0001174,0.9907922,AGP:24,AGP
18,2020.12.14-174343,2020.11.29-231149,67420.0,80.28101929030723,46.7070257,8.2299804688,0.4709285078611688,8.54e-05,0.9918922,AGP:19,AGP
19,2020.12.15-173411,2020.11.29-231149,62688.0,74.64634436770659,47.8726197,7.65234375,0.5064765186319551,6.53e-05,0.9926713,AGP:25,AGP
20,2020.12.14-174343,2020.11.29-231149,67440.0,80.30483448440104,46.7070257,8.232421875,0.4707888493475682,0.0,0.0,AGP:19,AGP
21,2020.12.14-102807,2020.11.29-231149,52492.0,62.50535841867111,45.6151605,6.4077148438,0.6048540730016002,0.0001099,0.9885979,AGP:37,AGP
22,2020.12.14-102807,2020.11.29-231149,55028.0,65.52512502976899,45.1088484,6.7172851563,0.5769789925129025,0.0001235,0.9884825,AGP:34,AGP
23,2020.12.14-102807,2020.11.29-231149,59164.0,70.45010716837342,44.5957726,7.2221679688,0.5366439050774119,0.0001389,0.9887603,AGP:29,AGP
24,2020.12.14-102807,2020.11.29-231149,63288.0,75.36080019052154,43.9098534,7.7255859375,0.5016748830742005,0.0001626,0.9886476,AGP:24,AGP
25,2020.12.14-102807,2020.11.29-231149,67432.0,80.29530840676351,45.3356166,8.2314453125,0.4708447028117214,0.0001172,0.9908989,AGP:19,AGP
